type,op_name,tags,description_en,description_zh
filter,audio_duration_filter,Audio¦CPU¦Stable,Keep data samples whose audio durations are within a specified range. ,保留音频持续时间在指定范围内的数据样本。
filter,audio_nmf_snr_filter,Audio¦CPU¦Stable,Keep data samples whose audio Signal-to-Noise Ratios (SNRs) are within a specified range. ,保留音频信噪比 (snr) 在指定范围内的数据样本。
filter,audio_size_filter,Audio¦CPU¦Stable,Keep data samples based on the size of their audio files. ,根据音频文件的大小保留数据样本。
filter,average_line_length_filter,Text¦CPU¦Stable,Filter to keep samples with average line length within a specific range. ,过滤器，以保持平均线长度在特定范围内的样本。
filter,character_repetition_filter,Text¦CPU¦Stable,Filter to keep samples with character-level n-gram repetition ratio within a specific range. ,过滤器将具有字符级n-gram重复比的样本保持在特定范围内。
filter,flagged_words_filter,Text¦CPU¦Stable,Filter to keep samples with flagged-word ratio in a specified range. ,过滤器将标记词比率的样本保留在指定范围内。
filter,general_field_filter,CPU¦Beta,Filter to keep samples based on a general field filter condition. ,根据常规字段筛选条件保留样本。
filter,image_aesthetics_filter,Image¦GPU¦HF¦Stable,Filter to keep samples with aesthetics scores within a specific range. ,过滤以保持美学分数在特定范围内的样品。
filter,image_aspect_ratio_filter,Image¦CPU¦Stable,Filter to keep samples with image aspect ratio within a specific range. ,过滤器，以保持样本的图像纵横比在特定范围内。
filter,image_face_count_filter,Image¦CPU¦Stable,Filter to keep samples with the number of faces within a specific range. ,过滤以保持样本的面数在特定范围内。
filter,image_face_ratio_filter,Image¦CPU¦Stable,Filter to keep samples with face area ratios within a specific range. ,过滤以保持面面积比在特定范围内的样本。
filter,image_nsfw_filter,Image¦GPU¦HF¦Stable,Filter to keep samples whose images have nsfw scores in a specified range. ,过滤器保留其图像的nsfw分数在指定范围内的样本。
filter,image_pair_similarity_filter,Image¦GPU¦HF¦Stable,Filter to keep image pairs with similarities between images within a specific range. ,过滤器将图像之间具有相似性的图像对保持在特定范围内。
filter,image_shape_filter,Image¦CPU¦Stable,"Filter to keep samples with image shape (width, height) within specific ranges. ","过滤器，以保持样本的图像形状 (宽度，高度) 在特定的范围内。"
filter,image_size_filter,Image¦CPU¦Stable,Keep data samples whose image size (in Bytes/KB/MB/...) is within a specific range. ,保留图像大小 (以字节/KB/MB/... 为单位) 在特定范围内的数据样本。
filter,image_text_matching_filter,Multimodal¦GPU¦HF¦Stable,Filter to keep samples with image-text matching scores within a specific range. ,过滤器将图像文本匹配分数的样本保持在特定范围内。
filter,image_text_similarity_filter,Multimodal¦GPU¦HF¦Stable,Filter to keep samples with image-text similarity within a specified range. ,过滤器将具有图像-文本相似性的样本保持在指定范围内。
filter,image_watermark_filter,Image¦GPU¦HF¦Stable,Filter to keep samples whose images have no watermark with high probability. ,过滤器以保持其图像没有水印的样本具有高概率。
filter,in_context_influence_filter,GPU¦Stable,Filter to keep texts based on their in-context influence on a validation set. ,过滤以根据文本在上下文中对验证集的影响来保留文本。
filter,instruction_following_difficulty_filter,GPU¦Beta,"Filter to keep texts based on their instruction following difficulty (IFD, https://arxiv.org/abs/2308.12032) score. ","过滤以保持文本基于他们的指令跟随难度 (IFD， https://arxiv.org/abs/ 2308.12032) 分数。"
filter,language_id_score_filter,Text¦CPU¦Stable,Filter to keep samples in a specific language with a confidence score above a threshold. ,过滤器以保留置信度高于阈值的特定语言的样本。
filter,llm_analysis_filter,GPU¦vLLM¦HF¦API¦Beta,Base filter class for leveraging LLMs to analyze and filter data samples. ,用于利用LLMs分析和过滤数据样本的基本筛选器类。
filter,llm_difficulty_score_filter,CPU¦Beta,Filter to keep samples with high difficulty scores estimated by an LLM. ,过滤器以保留由LLM估计的高难度分数的样本。
filter,llm_perplexity_filter,GPU¦HF¦Beta,"Filter to keep samples with perplexity scores within a specified range, computed using a specified LLM. ","过滤器将困惑分数的样本保留在指定范围内，使用指定的LLM计算。"
filter,llm_quality_score_filter,CPU¦Beta,Filter to keep samples with a high quality score estimated by a language model. ,过滤器，以保留具有语言模型估计的高质量分数的样本。
filter,llm_task_relevance_filter,CPU¦Beta,Filter to keep samples with high relevance scores to validation tasks estimated by an LLM. ,过滤器以保留与LLM估计的验证任务具有高相关性分数的样本。
filter,maximum_line_length_filter,Text¦CPU¦Stable,Filter to keep samples with a maximum line length within a specified range. ,筛选器将最大行长度的样本保持在指定范围内。
filter,perplexity_filter,Text¦CPU¦Stable,Filter to keep samples with perplexity score in a specified range. ,过滤以保持困惑分数在指定范围内的样本。
filter,phrase_grounding_recall_filter,Multimodal¦GPU¦HF¦Stable,Filter to keep samples based on the phrase grounding recall of phrases extracted from text in images. ,根据从图像中的文本中提取的短语接地召回来过滤以保留样本。
filter,special_characters_filter,Text¦CPU¦Stable,Filter to keep samples with special-character ratio within a specific range. ,过滤器，以将具有特殊字符比率的样本保持在特定范围内。
filter,specified_field_filter,CPU¦Stable,Filter samples based on the specified field information. ,根据指定的字段信息筛选样本。
filter,specified_numeric_field_filter,CPU¦Stable,Filter samples based on a specified numeric field value. ,根据指定的数值字段值筛选样本。
filter,stopwords_filter,Text¦CPU¦Stable,Filter to keep samples with stopword ratio within a specified range. ,过滤器将停止词比率的样本保持在指定范围内。
filter,suffix_filter,CPU¦Stable,Filter to keep samples with specified suffix. ,过滤器以保留具有指定后缀的样本。
filter,text_action_filter,Text¦CPU¦Stable,Filter to keep texts that contain a minimum number of actions. ,过滤以保留包含最少数量操作的文本。
filter,text_embd_similarity_filter,Text¦GPU¦API¦Beta,Filter to keep texts whose average embedding similarity to a set of given validation texts falls within a specific range. ,过滤器，以保留与一组给定验证文本的平均嵌入相似度在特定范围内的文本。
filter,text_entity_dependency_filter,Text¦CPU¦Stable,Identify and filter text samples based on entity dependencies. ,根据实体依赖关系识别和过滤文本样本。
filter,text_length_filter,Text¦CPU¦Stable,Filter to keep samples with total text length within a specific range. ,过滤以保持文本总长度在特定范围内的样本。
filter,text_pair_similarity_filter,Text¦GPU¦HF¦Stable,Filter to keep text pairs with similarities within a specific range. ,过滤以将具有相似性的文本对保持在特定范围内。
filter,token_num_filter,Text¦CPU¦HF¦Stable,Filter to keep samples with a total token number within a specified range. ,筛选器将总令牌数的样本保留在指定范围内。
filter,video_aesthetics_filter,Video¦GPU¦HF¦Stable,Filter to keep data samples with aesthetics scores for specified frames in the videos within a specific range. ,过滤器将视频中指定帧的美学得分数据样本保留在特定范围内。
filter,video_aspect_ratio_filter,Video¦CPU¦Stable,Filter to keep samples with video aspect ratio within a specific range. ,过滤器将视频纵横比的样本保持在特定范围内。
filter,video_duration_filter,Video¦CPU¦Stable,Keep data samples whose videos' durations are within a specified range. ,保留视频持续时间在指定范围内的数据样本。
filter,video_frames_text_similarity_filter,Multimodal¦GPU¦HF¦Stable,Filter to keep samples based on the similarity between video frame images and text within a specific range. ,根据视频帧图像和文本之间的相似性进行过滤，以保持样本在特定范围内。
filter,video_motion_score_filter,Video¦CPU¦Stable,Filter to keep samples with video motion scores within a specific range. ,过滤器将视频运动分数的样本保持在特定范围内。
filter,video_motion_score_raft_filter,Video¦GPU¦Stable,Filter to keep samples with video motion scores within a specified range. ,过滤器将视频运动分数的样本保持在指定范围内。
filter,video_nsfw_filter,Video¦GPU¦HF¦Stable,Filter to keep samples whose videos have nsfw scores in a specified range. ,过滤器以保留其视频的nsfw分数在指定范围内的样本。
filter,video_ocr_area_ratio_filter,Video¦GPU¦Stable,Keep data samples whose detected text area ratios for specified frames in the video are within a specified range. ,保留检测到的视频中指定帧的文本面积比率在指定范围内的数据样本。
filter,video_resolution_filter,Video¦CPU¦Stable,Keep data samples whose videos' resolutions are within a specified range. ,保留视频分辨率在指定范围内的数据样本。
filter,video_tagging_from_frames_filter,Video¦GPU¦Stable,Filter to keep samples whose videos contain specified tags. ,过滤器以保留其视频包含指定标签的样本。
filter,video_watermark_filter,Video¦GPU¦HF¦Stable,Filter to keep samples whose videos have no watermark with high probability. ,过滤器以保持其视频具有高概率没有水印的样本。
filter,word_repetition_filter,Text¦CPU¦Stable,Filter to keep samples with word-level n-gram repetition ratio within a specific range. ,过滤器将单词级n-gram重复比率的样本保持在特定范围内。
filter,words_num_filter,Text¦CPU¦Stable,Filter to keep samples with a total word count within a specified range. ,过滤器将样本的总字数保持在指定范围内。
formatter,csv_formatter,Stable,The class is used to load and format csv-type files. ,类用于加载和格式化csv类型的文件。
formatter,empty_formatter,Stable,The class is used to create empty data. ,类用于创建空数据。
formatter,json_formatter,Beta,The class is used to load and format json-type files. ,类用于加载和格式化json类型的文件。
formatter,local_formatter,Stable,The class is used to load a dataset from local files or local directory. ,类用于从本地文件或本地目录加载数据集。
formatter,parquet_formatter,Stable,The class is used to load and format parquet-type files. ,该类用于加载和格式化镶木地板类型的文件。
formatter,remote_formatter,Stable,The class is used to load a dataset from repository of huggingface hub. ,该类用于从huggingface hub的存储库加载数据集。
formatter,text_formatter,Alpha,The class is used to load and format text-type files. ,类用于加载和格式化文本类型文件。
formatter,tsv_formatter,Stable,The class is used to load and format tsv-type files. ,该类用于加载和格式化tsv类型的文件。
grouper,key_value_grouper,Text¦CPU¦Stable,Groups samples into batches based on values in specified keys. ,根据指定键中的值将样本分组为批处理。
grouper,naive_grouper,CPU¦Stable,Group all samples in a dataset into a single batched sample. ,将数据集中的所有样本分组为单个批处理样本。
grouper,naive_reverse_grouper,CPU¦Stable,Split batched samples into individual samples. ,将批处理的样品分成单个样品。
mapper,audio_add_gaussian_noise_mapper,Audio¦CPU¦Beta,Mapper to add Gaussian noise to audio samples. ,映射器将高斯噪声添加到音频样本。
mapper,audio_ffmpeg_wrapped_mapper,Audio¦CPU¦Stable,Wraps FFmpeg audio filters for processing audio files in a dataset. ,包装FFmpeg音频过滤器，用于处理数据集中的音频文件。
mapper,calibrate_qa_mapper,Text¦CPU¦API¦Stable,Calibrates question-answer pairs based on reference text using an API model. ,使用API模型根据参考文本校准问答对。
mapper,calibrate_query_mapper,CPU¦Stable,Calibrate query in question-answer pairs based on reference text. ,基于参考文本校准问答对中的查询。
mapper,calibrate_response_mapper,CPU¦Stable,Calibrate response in question-answer pairs based on reference text. ,根据参考文本校准问答对中的回答。
mapper,chinese_convert_mapper,Text¦CPU¦Stable,"Mapper to convert Chinese text between Traditional, Simplified, and Japanese Kanji. ","映射器在繁体、简体和日文汉字之间转换中文文本。"
mapper,clean_copyright_mapper,Text¦CPU¦Stable,Cleans copyright comments at the beginning of text samples. ,清除文本示例开头的版权注释。
mapper,clean_email_mapper,Text¦CPU¦Stable,Cleans email addresses from text samples using a regular expression. ,使用正则表达式从文本示例中清除电子邮件地址。
mapper,clean_html_mapper,Text¦CPU¦Stable,"Cleans HTML code from text samples, converting HTML to plain text. ","从文本示例中清除HTML代码，将HTML转换为纯文本。"
mapper,clean_ip_mapper,Text¦CPU¦Stable,Cleans IPv4 and IPv6 addresses from text samples. ,从文本示例中清除IPv4和IPv6地址。
mapper,clean_links_mapper,Text¦CPU¦Stable,Mapper to clean links like http/https/ftp in text samples. ,映射器来清理链接，如文本示例中的http/https/ftp。
mapper,detect_character_attributes_mapper,GPU¦Beta,"Takes an image, a caption, and main character names as input to extract the characters' attributes. ","根据给定的图像、图像描述信息和（多个）角色名称，提取图像中主要角色的属性。"
mapper,detect_character_locations_mapper,GPU¦Beta,"Given an image and a list of main character names, extract the bounding boxes for each present character. ","给定一张图像和主要角色的名称列表，提取每个在场角色的边界框。(YOLOE + MLLM)"
mapper,detect_main_character_mapper,GPU¦Beta,Extract all main character names based on the given image and its caption. ,根据给定的图像及其图像描述，提取所有主要角色的名字。
mapper,dialog_intent_detection_mapper,CPU¦API¦Stable,"Generates user's intent labels in a dialog by analyzing the history, query, and response. ","通过分析历史记录、查询和响应，在对话框中生成用户的意图标签。"
mapper,dialog_sentiment_detection_mapper,CPU¦API¦Stable,Generates sentiment labels and analysis for user queries in a dialog. ,在对话框中为用户查询生成情绪标签和分析。
mapper,dialog_sentiment_intensity_mapper,CPU¦API¦Stable,"Mapper to predict user's sentiment intensity in a dialog, ranging from -5 to 5. ","Mapper预测用户在对话框中的情绪强度，范围从-5到5。"
mapper,dialog_topic_detection_mapper,CPU¦API¦Stable,Generates user's topic labels and analysis in a dialog. ,在对话框中生成用户的主题标签和分析。
mapper,download_file_mapper,CPU¦Beta,Mapper to download URL files to local files or load them into memory. ,映射器将URL文件下载到本地文件或将其加载到内存中。
mapper,expand_macro_mapper,Text¦CPU¦Stable,Expands macro definitions in the document body of LaTeX samples. ,展开LaTeX示例文档主体中的宏定义。
mapper,extract_entity_attribute_mapper,Text¦CPU¦API¦Stable,Extracts attributes for given entities from the text and stores them in the sample's metadata. ,从文本中提取给定实体的属性，并将其存储在示例的元数据中。
mapper,extract_entity_relation_mapper,Text¦CPU¦API¦Stable,Extracts entities and relations from text to build a knowledge graph. ,从文本中提取实体和关系以构建知识图谱。
mapper,extract_event_mapper,Text¦CPU¦API¦Stable,Extracts events and relevant characters from the text. ,从文本中提取事件和相关字符。
mapper,extract_keyword_mapper,Text¦CPU¦API¦Stable,Generate keywords for the text. ,为文本生成关键字。
mapper,extract_nickname_mapper,Text¦CPU¦API¦Stable,Extracts nickname relationships in the text using a language model. ,使用语言模型提取文本中的昵称关系。
mapper,extract_support_text_mapper,Text¦CPU¦API¦Stable,Extracts a supporting sub-text from the original text based on a given summary. ,根据给定的摘要从原始文本中提取支持子文本。
mapper,extract_tables_from_html_mapper,Text¦CPU¦Beta,Extracts tables from HTML content and stores them in a specified field. ,从HTML内容中提取表并将其存储在指定字段中。
mapper,fix_unicode_mapper,Text¦CPU¦Stable,Fixes unicode errors in text samples. ,修复文本示例中的unicode错误。
mapper,generate_qa_from_examples_mapper,GPU¦vLLM¦HF¦Stable,Generates question and answer pairs from examples using a Hugging Face model. ,使用拥抱面部模型从示例生成问题和答案对。
mapper,generate_qa_from_text_mapper,Text¦GPU¦vLLM¦HF¦Stable,Generates question and answer pairs from text using a specified model. ,使用指定的模型从文本生成问题和答案对。
mapper,image_blur_mapper,Image¦CPU¦Stable,Blurs images in the dataset with a specified probability and blur type. ,使用指定的概率和模糊类型对数据集中的图像进行模糊处理。
mapper,image_captioning_from_gpt4v_mapper,Multimodal¦CPU¦Beta,Generates text captions for images using the GPT-4 Vision model. ,使用GPT-4视觉模型为图像生成文本标题。
mapper,image_captioning_mapper,Multimodal¦GPU¦HF¦Stable,Generates image captions using a Hugging Face model and appends them to samples. ,使用拥抱面部模型生成图像标题，并将其附加到样本中。
mapper,image_detection_yolo_mapper,Image¦GPU¦Beta,Perform object detection using YOLO on images and return bounding boxes and class labels. ,使用YOLO对图像执行对象检测，并返回边界框和类标签。
mapper,image_diffusion_mapper,Multimodal¦GPU¦HF¦Stable,Generate images using a diffusion model based on provided captions. ,使用基于提供的字幕的扩散模型生成图像。
mapper,image_face_blur_mapper,Image¦CPU¦Stable,Mapper to blur faces detected in images. ,映射器模糊图像中检测到的人脸。
mapper,image_remove_background_mapper,Image¦CPU¦Stable,Mapper to remove the background of images. ,映射器删除图像的背景。
mapper,image_segment_mapper,Image¦GPU¦Stable,Perform segment-anything on images and return the bounding boxes. ,对图像执行segment-任何操作并返回边界框。
mapper,image_tagging_mapper,Image¦GPU¦Stable,Generates image tags for each image in the sample. ,为样本中的每个图像生成图像标记。
mapper,imgdiff_difference_area_generator_mapper,GPU¦Beta,"Generates and filters bounding boxes for image pairs based on similarity, segmentation, and text matching. ","根据相似性、分割和文本匹配生成和过滤图像对的边界框。"
mapper,imgdiff_difference_caption_generator_mapper,GPU¦Beta,Generates difference captions for bounding box regions in two images. ,为两个图像中的边界框区域生成差异字幕。
mapper,mllm_mapper,Multimodal¦GPU¦HF¦Stable,Mapper to use MLLMs for visual question answering tasks. ,Mapper使用MLLMs进行视觉问答任务。
mapper,nlpaug_en_mapper,Text¦CPU¦Stable,Augments English text samples using various methods from the nlpaug library. ,使用nlpaug库中的各种方法增强英语文本样本。
mapper,nlpcda_zh_mapper,Text¦CPU¦Stable,Augments Chinese text samples using the nlpcda library. ,使用nlpcda库扩充中文文本样本。
mapper,optimize_prompt_mapper,GPU¦vLLM¦HF¦API¦Beta,Optimize prompts based on existing ones in the same batch. ,根据同一批次中的现有提示优化提示。
mapper,optimize_qa_mapper,GPU¦vLLM¦HF¦API¦Stable,Mapper to optimize question-answer pairs. ,映射器来优化问题-答案对。
mapper,optimize_query_mapper,GPU¦Stable,Optimize queries in question-answer pairs to make them more specific and detailed. ,优化问答对中的查询，使其更加具体和详细。
mapper,optimize_response_mapper,GPU¦Stable,Optimize response in question-answer pairs to be more detailed and specific. ,优化问答对中的响应，使其更加详细和具体。
mapper,pair_preference_mapper,Text¦CPU¦API¦Stable,Mapper to construct paired preference samples by generating a rejected response and its reason. ,Mapper通过生成拒绝响应及其原因来构造成对的偏好样本。
mapper,punctuation_normalization_mapper,Text¦CPU¦Stable,Normalizes unicode punctuations to their English equivalents in text samples. ,将unicode标点规范化为文本示例中的英语等效项。
mapper,python_file_mapper,CPU¦Stable,Executes a Python function defined in a file on input data. ,对输入数据执行文件中定义的Python函数。
mapper,python_lambda_mapper,CPU¦Stable,Mapper for applying a Python lambda function to data samples. ,Mapper，用于将Python lambda函数应用于数据样本。
mapper,query_intent_detection_mapper,GPU¦HF¦HF¦Stable,Predicts the user's intent label and corresponding score for a given query. ,为给定查询预测用户的意图标签和相应的分数。
mapper,query_sentiment_detection_mapper,GPU¦HF¦HF¦Stable,"Predicts user's sentiment label ('negative', 'neutral', 'positive') in a query. ","在查询中预测用户的情绪标签 (“负面” 、 “中性” 、 “正面”)。"
mapper,query_topic_detection_mapper,GPU¦HF¦HF¦Stable,Predicts the topic label and its corresponding score for a given query. ,预测给定查询的主题标签及其相应的分数。
mapper,relation_identity_mapper,Text¦CPU¦API¦Stable,Identify the relation between two entities in a given text. ,确定给定文本中两个实体之间的关系。
mapper,remove_bibliography_mapper,Text¦CPU¦Stable,Removes bibliography sections at the end of LaTeX documents. ,删除LaTeX文档末尾的参考书目部分。
mapper,remove_comments_mapper,Text¦CPU¦Stable,"Removes comments from documents, currently supporting only 'tex' format. ","从文档中删除注释，当前仅支持 “文本” 格式。"
mapper,remove_header_mapper,Text¦CPU¦Stable,Removes headers at the beginning of documents in LaTeX samples. ,删除LaTeX示例中文档开头的标题。
mapper,remove_long_words_mapper,Text¦CPU¦Stable,Mapper to remove long words within a specific range. ,映射器删除特定范围内的长词。
mapper,remove_non_chinese_character_mapper,Text¦CPU¦Stable,Removes non-Chinese characters from text samples. ,从文本样本中删除非中文字符。
mapper,remove_repeat_sentences_mapper,Text¦CPU¦Stable,Mapper to remove repeat sentences in text samples. ,映射器删除文本样本中的重复句子。
mapper,remove_specific_chars_mapper,Text¦CPU¦Stable,Removes specific characters from text samples. ,从文本示例中删除特定字符。
mapper,remove_table_text_mapper,Text¦CPU¦Stable,Mapper to remove table texts from text samples. ,映射器从文本样本中删除表文本。
mapper,remove_words_with_incorrect_substrings_mapper,Text¦CPU¦Stable,Mapper to remove words containing specified incorrect substrings. ,映射程序删除包含指定的不正确子字符串的单词。
mapper,replace_content_mapper,Text¦CPU¦Stable,Replaces content in the text that matches a specific regular expression pattern with a designated replacement string. ,用指定的替换字符串替换与特定正则表达式模式匹配的文本中的内容。
mapper,sdxl_prompt2prompt_mapper,Text¦GPU¦Stable,Generates pairs of similar images using the SDXL model. ,使用SDXL模型生成成对的相似图像。
mapper,sentence_augmentation_mapper,Text¦GPU¦HF¦Stable,Augments sentences by generating enhanced versions using a Hugging Face model. ,通过使用拥抱面部模型生成增强版本来增强句子。
mapper,sentence_split_mapper,Text¦CPU¦Stable,Splits text samples into individual sentences based on the specified language. ,根据指定的语言将文本样本拆分为单个句子。
mapper,text_chunk_mapper,Text¦CPU¦API¦Stable,Split input text into chunks based on specified criteria. ,根据指定的条件将输入文本拆分为块。
mapper,vggt_mapper,Video¦GPU¦Beta,"Input a video of a single scene, and use VGGT to extract information including Camera Pose, Depth Maps, Point Maps, and 3D Point Tracks (if outputting point tracks is required, the user needs to provide query points). ","输入单个场景的视频，并使用VGGT提取包括相机姿态，深度图，点图和3D点轨迹的信息 (如果需要输出点轨迹，则用户需要提供查询点)。"
mapper,video_captioning_from_audio_mapper,Multimodal¦GPU¦HF¦Stable,Mapper to caption a video according to its audio streams based on Qwen-Audio model. ,映射器根据基于qwen-audio模型的音频流为视频添加字幕。
mapper,video_captioning_from_frames_mapper,Multimodal¦GPU¦HF¦Stable,Generates video captions from sampled frames using an image-to-text model. ,使用图像到文本模型从采样帧生成视频字幕。
mapper,video_captioning_from_summarizer_mapper,Multimodal¦GPU¦HF¦Stable,"Mapper to generate video captions by summarizing several kinds of generated texts (captions from video/audio/frames, tags from audio/frames, ...). ","映射器通过总结几种生成的文本 (来自视频/音频/帧的字幕，来自音频/帧的标签，...) 来生成视频字幕。"
mapper,video_captioning_from_video_mapper,Multimodal¦GPU¦HF¦Stable,Generates video captions using a Hugging Face video-to-text model and sampled video frames. ,使用拥抱面部视频到文本模型和采样视频帧生成视频字幕。
mapper,video_extract_frames_mapper,Multimodal¦CPU¦Stable,Mapper to extract frames from video files according to specified methods. ,映射器根据指定的方法从视频文件中提取帧。
mapper,video_face_blur_mapper,Video¦CPU¦Stable,Mapper to blur faces detected in videos. ,映射器模糊在视频中检测到的人脸。
mapper,video_ffmpeg_wrapped_mapper,Video¦CPU¦Stable,Wraps FFmpeg video filters for processing video files in a dataset. ,包装FFmpeg视频过滤器，用于处理数据集中的视频文件。
mapper,video_remove_watermark_mapper,Video¦CPU¦Stable,Remove watermarks from videos based on specified regions. ,根据指定区域从视频中删除水印。
mapper,video_resize_aspect_ratio_mapper,Video¦CPU¦Stable,Resizes videos to fit within a specified aspect ratio range. ,调整视频大小以适应指定的宽高比范围。
mapper,video_resize_resolution_mapper,Video¦CPU¦Stable,Resizes video resolution based on specified width and height constraints. ,根据指定的宽度和高度限制调整视频分辨率。
mapper,video_split_by_duration_mapper,Multimodal¦CPU¦Stable,Splits videos into segments based on a specified duration. ,根据指定的持续时间将视频拆分为多个片段。
mapper,video_split_by_key_frame_mapper,Multimodal¦CPU¦Stable,Splits a video into segments based on key frames. ,根据关键帧将视频分割为多个片段。
mapper,video_split_by_scene_mapper,Multimodal¦CPU¦Stable,Splits videos into scene clips based on detected scene changes. ,根据检测到的场景变化将视频拆分为场景剪辑。
mapper,video_tagging_from_audio_mapper,Video¦GPU¦HF¦Stable,Generates video tags from audio streams using the Audio Spectrogram Transformer. ,使用音频频谱图转换器从音频流生成视频标签。
mapper,video_tagging_from_frames_mapper,Video¦GPU¦Stable,Generates video tags from frames extracted from videos. ,从视频中提取的帧生成视频标签。
mapper,whitespace_normalization_mapper,Text¦CPU¦Stable,Normalizes various types of whitespace characters to standard spaces in text samples. ,将文本样本中各种类型的空白字符规范化为标准空格。
selector,frequency_specified_field_selector,CPU¦Stable,Selector to filter samples based on the frequency of a specified field. ,选择器根据指定字段的频率过滤样本。
selector,random_selector,CPU¦Stable,Randomly selects a subset of samples from the dataset. ,从数据集中随机选择样本子集。
selector,range_specified_field_selector,CPU¦Stable,Selects a range of samples based on the sorted values of a specified field. ,根据指定字段的排序值选择采样范围。
selector,tags_specified_field_selector,CPU¦Stable,Selector to filter samples based on the tags of a specified field. ,选择器根据指定字段的标签过滤样本。
selector,topk_specified_field_selector,CPU¦Stable,Selects top samples based on the sorted values of a specified field. ,根据指定字段的排序值选择顶部样本。
